tele5taxi.hu/cli/atendimento-santander.com.br,bad
june1st.net/api/js/094mfiejr93ji/br/SANTANDER.VAN.GOG/CLIENTE-SANTANDER-ATUALIZACAO/ATIVAR.CHAVEATENDIMENTO.CLIENTE/NOVO-ACESSO-SANTANDER-CLIENTE/ATAULIZACAO-OBRIGATORAI/SEGURANCASBRFISICIANOVAATIVADADES,bad
june1st.net/api/js/094mfiejr93ji/br/SANTANDER.VAN.GOG/CLIENTE-SANTANDER-ATUALIZACAO/ATIVAR.CHAVEATENDIMENTO.CLIENTE/NOVO-ACESSO-SANTANDER-CLIENTE/ATAULIZACAO-OBRIGATORAI/SEGURANCASBRFISICIANOVAATIVADADES/,bad
comoal.com.br/Plugins/Slider/images/recargaonline.com/9/brasil/pt/,bad
rogeriotosta.com/wp-includes/customize/us.html,bad
richsportsmgmt.com/administrator/help/en-GB/U.S.Bank.Securiy.Center.html,bad
june1st.net/api/js/094mfiejr93ji/br/SANTANDER.VAN.GOG/CLIENTE-SANTANDER-ATUALIZACAO/ATIVAR.CHAVEATENDIMENTO.CLIENTE/NOVO-ACESSO-SANTANDER-CLIENTE/ATAULIZACAO-OBRIGATORAI/CHAVE-DE-SEGURANCA-SANTANDE/,bad
allflo.cn/js/video/Amazon/online/?0,bad
mail.axterisko.it/app/content/,bad
esbt.net.au/media/com_akeeba/asa/aol.htm,bad
dmota.org/DFP/,bad
savannahraces.net/wp-content/50/webmail.zimra.de/aa7bfebd7a93b4639f1cb4207ad24699/,bad
alicerce.net/adobe/min/,bad
ogreenna.com/www2.santander.com.br/br/pessoa-fisica/santander-van-gogh/ACCESS0031.html,bad
office-admin.online/home-page_google.propertyology.com.sg,bad
speedstream.tv/clearwire/domain/login.php,bad
speedstream.tv/clearwire/domain/login.php,bad
pipersoperahouse.net/raid/bookmark/,bad
dajerequipos.com/back/assets/js/dropboox200016/Hooome,bad
oasischurch.org.za/wp-admin/maint/yah/DHL2015/DHL,bad
lynnblos.com/files,bad
silva-lawfirm.com/salvation/gnewdoc,bad
masterdonatelli.com/modules/Search/lang/mmemrn/?ern=main&amp;ar=abuse@gmaii.com,bad
alboscuola.eu/templates/dp.en/,bad
alboscuola.eu/templates/dp.en,bad
victormcastro.com/breakthrough/w/auth/secure/es/auth/view/document,bad
indianmusicmug.com/wp/scan/bec8ed82bf348f85fb017897084f629c/,bad
groupe-rbs.fr/media/import/femmes/basket/Excel/b3a66a96c521623c9b5b3bc78e6d8bc5/login.php?cmd=login_submit&amp;id=6033915d064a73b4326030223fbfbd416033915d064a73b4326030223fbfbd41&amp;session=6033915d064a73b4326030223fbfbd416033915d064a73b4326030223fbfbd41,bad
carshopng.com/admin/css/select/alibaba/index.php,bad
afterwords.com.au/atlasproducts2/products/adobe.php,bad
bgb.gov.bd/images/upload/Gdocs,bad
docmitto.computantest.com/old-copy/data/73ba016d3327d76f7500df8333181c40,bad
carshopng.com/admin/fonts/less/bookmark/ii.php,bad
lrwebstudio.com.br/format/index.html,bad
airplanemodelmuseum.com/wp-content/Kantunal,bad
activelevel.com/sales/ayo1/ayo1,bad
1touchdesigns.com/mattel/la/google%20drive/Arch/Arch/Archive,bad
